ID,Name,Type,Longitude ,Latitude ,Evacuation_Centers
252,Gateway College,school,79.9003498,6.9032654,Yes
253,school,school,80.2378414,6.0334998,Yes
254,Ceypetco,fuel,80.239977,6.0320111,
255,Unawatuna Beach Resort,hotel,80.2489798,6.0099954,
256,Kingswood College,school,80.6158543,7.2780732,Yes
257,crossing,crossing,80.1149518,6.7352615,
258,CEYPETCO - Ebert Silva,fuel,79.8658742,6.8539417,
259,level_crossing,level_crossing,80.4564608,5.965616,
260, ,post_office,80.4555325,5.9505204,
261, ,post_box,80.467988,5.9525716,
262,Castle street Hospital for Women,hospital,79.884706,6.9107553,Yes
263,Devi Balika Vidyalaya,school,79.8825201,6.9108542,Yes
264,Durdans Hospital,hospital,79.8534983,6.9018528,Yes
265,Hospital Carpark,parking,79.854658,6.9018754,
266,Joseph Frazer Maternity Hospital Car Park,parking,79.8647173,6.894992,
267,Cargills Food City,supermarket,79.866691,6.8910882,
268,The Coffee Bean and Tea Leaf,restaurant,79.8666865,6.9115097,
269,Laugfs,fuel,79.8656971,6.885607,
270,Ceypetco,fuel,79.8630289,6.8911921,
271,"Cargills Food City\, Mount Lavinia.",supermarket,79.8671266,6.8329646,
272,P & A,supermarket,79.8613759,6.882557,
273,Muslim Ladies College,school,79.8612876,6.8817635,Yes
274,traffic_signals,traffic_signals,79.8645001,6.9118591,
275,traffic_signals,traffic_signals,79.8646942,6.9117769,
276,traffic_signals,traffic_signals,79.8646909,6.9116337,
277,Nippon Hotel,hotel,79.85229,6.9240275,
278,KFC,fast_food,79.8659509,6.8739621,
279,level_crossing,level_crossing,79.8784788,6.8915285,
280,Kingsbury Hotel,hotel,79.842233,6.9327584,
281,Kotte Rajamaha Viharaya,place_of_worship,79.9043667,6.8814277,Yes
282,Gangaramaya,place_of_worship,79.856683,6.9170006,Yes
283,traffic_signals,traffic_signals,79.8713109,6.9212645,
284,Rainbow Kids,kindergarten,80.2208453,6.0566712,
285,crossing,crossing,79.9123031,6.7106508,
286,Club Palm Bay Hotel,hotel,79.8120156,7.4333441,
287,Galle Face Hotel,hotel,79.846261,6.9203009,
288,level_crossing,level_crossing,79.8677253,6.8150988,
289,level_crossing,level_crossing,79.8785274,7.1434757,
290,level_crossing,level_crossing,79.8816596,7.1318075,
291,Seeduwa,station,79.8825586,7.1286696,
292,Kudahakapola,station,79.8897989,7.1038403,
293,level_crossing,level_crossing,79.894558,7.0687222,
294,level_crossing,level_crossing,79.8983325,7.057767,
295,Kandana,station,79.9016886,7.0492586,
296,level_crossing,level_crossing,79.9072614,7.0423919,
297,Enderamulla,station,79.9067801,7.0002833,
298,Hunupitiya,station,79.9002914,6.9876339,
299,Wanawasala,station,79.899258,6.9755695,
300,level_crossing,level_crossing,80.1787575,6.061411,
301,Gangasiri,supermarket,80.2176063,6.0653024,
302,Helmut Kohl Maternity Hospital,hospital,80.2237115,6.0678354,Yes
303,"University of Ruhuna\, Faculty of Medicine",university,80.2265405,6.0684029,
304,Galle,police,80.2171252,6.0330053,
305,school,school,80.2185137,6.0717718,Yes
306,Manjari,supermarket,80.2156117,6.0393912,
307,Dickson,car,80.2186852,6.0537346,
308,Galle Lighthouse,survey_point,80.219368,6.0245531,
309,level_crossing,level_crossing,79.8366583,8.0146862,
310,Siridhamma School,school,80.2323434,6.071661,Yes
311,Abeywikrama,supermarket,80.2160038,6.0646541,
312,Advanced Technical Institute - Labuduwa,college,80.2335364,6.0743239,Yes
313,CPC,fuel,79.9941076,6.8398005,
314,Cargills,supermarket,80.2280393,6.0680497,
315,HNB,bank,80.2277657,6.0676656,
316,school,school,80.1926172,6.0801615,Yes
317,Co-op Hospital,hospital,80.2160659,6.0363733,Yes
318,Hemas Southern Hospital,hospital,80.2162564,6.0358826,Yes
319,St. Francois Xavier Church,place_of_worship,80.2064079,6.0605829,Yes
320,Vidyaloka College,school,80.2168106,6.0344051,Yes
321,level_crossing,level_crossing,80.2996045,5.9945512,
322,level_crossing,level_crossing,80.3129618,5.993155,
323,level_crossing,level_crossing,80.3146639,5.99269,
324,level_crossing,level_crossing,80.318172,5.9917084,
325,level_crossing,level_crossing,80.3270396,5.9878307,
326,level_crossing,level_crossing,80.3307945,5.9863531,
327,level_crossing,level_crossing,79.997684,6.4254737,
328,Habaraduwa,station,80.307297,5.9940809,
329,HNB,bank,80.2167442,6.0333377,
330,Sampath Bank,bank,80.2167957,6.0335084,
331,Commercial Bank of Ceylon PLC,bank,80.2199629,6.0353008,
332,Sea Fair Food City,supermarket,80.2380388,6.0331755,
333,St. Sebastian Church,place_of_worship,79.839113,7.2183788,Yes
334,level_crossing,level_crossing,79.8478328,7.2371356,
335,level_crossing,level_crossing,79.8467708,7.2240842,
336,level_crossing,level_crossing,79.8427248,7.2121133,
337,level_crossing,level_crossing,79.8656566,7.1828191,
338,Katunayake South - EPZ,station,79.8753227,7.1581478,
339,level_crossing,level_crossing,79.8543479,7.198843,
340,Negombo,station,79.8421133,7.2103967,
341,level_crossing,level_crossing,79.8410148,7.2070858,
342,level_crossing,level_crossing,79.8618099,7.1917696,
343,level_crossing,level_crossing,79.8454709,7.2198534,
344,level_crossing,level_crossing,79.8576849,7.2651052,
345, ,mini_roundabout,79.8622026,6.9474151,
346, ,mini_roundabout,79.8572003,6.9501788,
347,level_crossing,level_crossing,79.9123123,6.8620849,
348,Open University of Sri Lanka,university,79.8866979,6.883029,
349,Maharagama Post Office,post_office,79.9257948,6.8465145,
350,Aqua Pearl Lake Resort,hotel,79.9096066,6.7636916,
351,traffic_signals,traffic_signals,79.8678586,6.830496,
352,Watagodde,station,80.6529761,6.9688444,
353,level_crossing,level_crossing,80.7049757,6.9514518,
354,crossing,crossing,80.7169537,6.9449235,
355,Hatton,station,80.5978654,6.8931154,
356,Avani Hotel,hotel,79.9602525,6.5683248,
357,level_crossing,level_crossing,79.9661215,6.5587882,
358,Gampola,station,80.5669282,7.1621736,
359,Bujjomuwa,station,80.2107055,7.2732761,
360,Yaththalgoda,station,80.1944429,7.270441,
361,Ambepussa,station,80.1693505,7.2560015,
362,Botale,station,80.1532119,7.2567498,
363,Wijayarajadahana,station,80.1179839,7.2300015,
364,Ganegoda,station,80.1055059,7.2129848,
365,level_crossing,level_crossing,80.1042133,7.212088,
366,Magalegoda,station,80.0364267,7.1338951,
367,Daraluwa,station,80.0105664,7.1071183,
368,Batuwatta,station,79.9371429,7.0550935,
369,crossing,crossing,80.5720044,7.2674706,
370,st. Michelle,hotel,79.9127379,6.7774418,
371,level_crossing,level_crossing,80.5350416,5.9500774,
372, ,mini_roundabout,79.8541982,6.939068,
373,crossing,crossing,80.0029136,6.9345341,
374,crossing,crossing,80.0100452,6.929852,
375,crossing,crossing,80.0340433,6.919713,
376,traffic_signals,traffic_signals,79.8777072,6.9213301,
377, ,turning_circle,79.859609,7.2031473,
378, ,mini_roundabout,80.2692625,7.0729946,
379,Matugama Central Bus Stand,bus_stop,80.1147637,6.5222775,
380,Athulathmudali Maha vidyalaya,school,80.1116326,6.5219377,Yes
381,Nabada bus stop,bus_stop,80.0879229,6.5930464,
382,St. Johns College,school,79.9142091,6.7229739,Yes
383,Town Hall,bus_stop,79.9076091,6.7200733,
384,place_of_worship,place_of_worship,79.9055569,6.7261289,Yes
385,Gangula Temple,place_of_worship,79.914715,6.7246287,Yes
386,Panadura Post Office,post_office,79.9078907,6.7171964,
387, ,bus_stop,79.9078743,6.7121494,
388,Panadura Balika Vidyalaya,school,79.908312,6.7133598,Yes
389,SLTB Bus Station,bus_station,79.9080546,6.7144935,
390,Rankoth Vihara Temple,place_of_worship,79.9063301,6.7117902,Yes
391,Club Palm Garden Hotel,hotel,79.9860322,6.4461509,
392,crossing,crossing,80.6507332,7.8737937,
393,The Grand Tourist Hooliday Resort,hotel,80.7086484,7.9348232,
394,Shalini Tourist Rest,hotel,80.4161576,8.3316061,
395,Awukana Vtharaya,place_of_worship,80.5134623,8.0101332,Yes
396,Mihintale,parking,80.5137627,8.3537754,
397,Mihintale,place_of_worship,80.5158532,8.3533877,Yes
398,Samadhi Buddha Statue,place_of_worship,80.398162,8.3698838,Yes
399,Jetavanarama Dagoba,place_of_worship,80.4036518,8.3515812,Yes
400,Tissawewa Rest House,hotel,80.3899106,8.3422895,
401,Mirisavatiya Dagoba,place_of_worship,80.389108,8.3450226,Yes
402,Motorcycle repair shop,motorcycle,80.4088964,8.332328,
403, ,parking,80.4029998,8.3449486,
404,Isurumuni Viharaya,place_of_worship,80.3903278,8.3344744,Yes
405,Kuttam Pokuna,attraction,80.4016952,8.3709074,
406,Sri Maha Bodhi,place_of_worship,80.3972199,8.3447706,Yes
407,Shiva Devale,attraction,81.0066337,7.9510256,
408,Rankoth Viharaya,place_of_worship,81.0033944,7.9582164,Yes
409,Gal Viharaya,place_of_worship,81.0049395,7.9660749,Yes
410,Lotus Pond,attraction,81.004021,7.9748514,
411,Tivanka Image House,attraction,81.0060809,7.9786339,
412,Potgul Viharaya,place_of_worship,80.9947084,7.9245534,Yes
413,Maha Parakrama Statue,attraction,80.9948692,7.9262515,
414,Polonnaruwa Quadrangle,attraction,81.0014633,7.9476332,
415,Bathing Pool,attraction,81.0024503,7.9422268,
416,Royal Palace of King Parakramabahu,attraction,81.0005204,7.9423735,
417,Archaeological Museum,museum,80.9987853,7.9418018,
418,Devi Tourist Home,hotel,81.0035163,7.9335352,
419,Spica Holiday Home,hotel,80.6291918,7.3027428,
420,level_crossing,level_crossing,80.6356339,7.2983459,
421,hotel,hotel,80.9778532,6.7640383,
422,Hill Top Guesthouse,hotel,81.0483298,6.8717433,
423,Lipton's seat,viewpoint,81.0155315,6.780575,
424,hotel,hotel,79.8634557,6.8425623,
425,traffic_signals,traffic_signals,79.8829985,6.8097847,
426,Deepangoda Sri Medhananda MV,school,79.9820128,6.816558,Yes
427,Homagama Central Bus Stand,bus_stop,80.002056,6.8414,
428,Sri Sugathabimbaramaya,place_of_worship,80.0033127,6.8448168,Yes
429,President's College Homagama,school,80.0035762,6.8396183,Yes
430,Kottawa Dharmapala MV,school,79.9651885,6.8380737,Yes
431,Niyandagala Kanishta Vidyalaya,school,79.9894893,6.826409,Yes
432,Lekha Cinema,cinema,80.0030468,6.843094,
433,level_crossing,level_crossing,79.9921228,6.8458191,
434,Sri Wijayatilakaramaya,place_of_worship,79.9637522,6.8325182,Yes
435,place_of_worship,place_of_worship,79.9918832,6.8221104,Yes
436,Sri Wardhanaramaya,place_of_worship,79.9825652,6.8139023,Yes
437,mini Co-op Super,convenience,79.9806571,6.8197508,
438,"Government Dispensary\, Brahmanagama",pharmacy,79.9805879,6.8199958,
439,Makumbura Purana Viharaya,place_of_worship,79.9808004,6.8375568,Yes
440,Mattegoda Vidyadeepa MV,school,79.966435,6.8295514,Yes
441,Kande Purana Viharaya,place_of_worship,79.9766107,6.8264621,Yes
442,Deepangoda KV,school,79.9825282,6.8144563,Yes
443, ,fuel,79.9524167,6.8455675,
444,Lanka IOC,fuel,79.9404692,6.8449727,
445,IOC Filling Station,fuel,79.9660324,6.8411245,
446,Kurunduwaththa,police,79.8638584,6.9069078,
447,Lionel Wendt,theatre,79.8606719,6.90678,
448,Visakha Vidyalaya,school,79.8597128,6.8913335,Yes
449,Bodhiwardhanaramaya (Army camp temple),place_of_worship,80.0180435,6.8455831,Yes
450,Hilltop,hotel,80.0096997,6.8445658,
451,Homagama,police,80.0031149,6.8367575,
452,Mattegoda,bus_stop,79.9752145,6.8114091,
453,"Ananda Vidyalaya\,  Kottawa",school,79.959109,6.8447628,Yes
454,Dharmapala Vidyalaya,school,79.9584867,6.8655244,Yes
455,Ruwanweliseya,place_of_worship,80.3964367,8.3500555,Yes
456,Dumbulla Rest House,hotel,80.6524954,7.8602453,
457,World's End (plate 1),viewpoint,80.7943043,6.7804058,
458,Pattipola,station,80.8306671,6.8558983,
459,New Brown`s Rest,hotel,80.5554106,5.9429462,
460,Devinuwara Light House,lighthouse,80.5940562,5.9212394,
461,Paradise Beach,hotel,80.4574096,5.9451679,
462,Keells Super,supermarket,79.8559888,6.9214572,
463,Regal Cinema,cinema,79.8467606,6.9314743,
464,NTB Head Office,bank,79.8568591,6.9206501,
465,traffic_signals,traffic_signals,79.8577836,6.9204263,
466,HNB Thalangam,bank,79.9299869,6.907695,
467,KFC Pelawatta,restaurant,79.9293473,6.8895352,
468,Flower Drum,restaurant,79.9289611,6.8902169,
469,Perera & Sons,cafe,79.9290362,6.8900997,
470,Pelawatta Bus Stop,bus_stop,79.9288522,6.8910604,
471,Food City Pelawatta,supermarket,79.9302396,6.8889396,
472, ,supermarket,79.9287374,6.8916877,
473,Laufgh Pelawatta,supermarket,79.9281818,6.8911571,
474,Vidya Wardana,school,79.9325565,6.8899538,Yes
475,Arpico Super Centre,supermarket,79.917095,6.9022421,
476,"Battara\,ulla Post Office",post_office,79.9164852,6.9025838,
477,Thalangama Polica,police,79.9293969,6.909463,
478,Thalangama Hospital,hospital,79.9285198,6.9062331,Yes
479,Sakura Hospital,hospital,79.9096982,6.9035135,Yes
480,SLT Battaramulla,telephone,79.91582,6.9019975,
481,Economic Shops & Groceries,supermarket,79.8825502,6.8938643,
482,Pannipitiya Nursing Home,hospital,79.9521742,6.8467443,Yes
483,Ceypetco,fuel,79.9288335,6.8913641,
484,Seylan bank Nawala,bank,79.883922,6.8872978,
485,N S B Thalawathugoda,bank,79.9349892,6.8761803,
